,path,file_id,sequence_id,phrase
442,./dataset/train_landmark_files/VSL50.parquet,VSL50,dunglai_gg_4,dừng lại
1225,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_gx_5,thói quen
1462,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_tx_2,đúng không
1233,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_px_2,thói quen
726,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_gx_4,không nên
1478,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_pg_1,đẹp không
526,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_tx_1,hấp dẫn
575,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_pg_3,hứa
244,./dataset/train_landmark_files/VSL50.parquet,VSL50,bucminh_tx_2,bực mình
769,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_tg_1,không đẹp
329,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_pg_5,con trai
753,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_gg_5,không đẹp
457,./dataset/train_landmark_files/VSL50.parquet,VSL50,dunglai_px_4,dừng lại
650,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_tx_1,không có
1221,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_gx_1,thói quen
1156,./dataset/train_landmark_files/VSL50.parquet,VSL50,phaikhong_gg_4,phải không
544,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_pg_3,hẹn
779,./dataset/train_landmark_files/VSL50.parquet,VSL50,không_đẹp-miền_nam,không đẹp
1372,./dataset/train_landmark_files/VSL50.parquet,VSL50,voduyen_tx_5,vô duyên
267,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_px_4,cha mẹ
694,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_gx_3,không muốn
693,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_gx_2,không muốn
852,./dataset/train_landmark_files/VSL50.parquet,VSL50,ketban_pg_1,kết bạn
603,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcho_gx_5,không cho
1471,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_gg_4,đẹp không
1098,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_gx_3,nóng tính
1250,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_gg_2,thường xuyên
582,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_px_5,hứa
973,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_gx_2,mẹ
347,./dataset/train_landmark_files/VSL50.parquet,VSL50,conban_gg_2,còn bạn
786,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_gx_2,khả năng
418,./dataset/train_landmark_files/VSL50.parquet,VSL50,cankhong_pg_1,cần không
1396,./dataset/train_landmark_files/VSL50.parquet,VSL50,van_tg_3,vẫn
1323,./dataset/train_landmark_files/VSL50.parquet,VSL50,tugiac_pg_2,tự giác
182,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_tx_2,bố mẹ
1389,./dataset/train_landmark_files/VSL50.parquet,VSL50,van_px_1,vẫn
1453,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_px_3,đúng không
285,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_gx_1,con gái
1539,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_pg_1,địa chỉ
1157,./dataset/train_landmark_files/VSL50.parquet,VSL50,phaikhong_gg_5,phải không
521,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_tg_1,hấp dẫn
566,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_gg_4,hứa
964,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_tx_4,muốn không
681,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcan_tx_1,không cần
247,./dataset/train_landmark_files/VSL50.parquet,VSL50,bucminh_tx_5,bực mình
1046,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_px_2,nhà vệ sinh
902,./dataset/train_landmark_files/VSL50.parquet,VSL50,lau_tx_5,lâu
651,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_tx_2,không có
747,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_tx_5,không nên
581,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_px_4,hứa
112,./dataset/train_landmark_files/VSL50.parquet,VSL50,bangai_px_4,bạn gái
1274,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_tx_1,thường xuyên
806,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_tx_2,khả năng
1266,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_px_3,thường xuyên
260,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_pg_2,cha mẹ
68,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_gx_1,bạn
519,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_px_4,hấp dẫn
48,./dataset/train_landmark_files/VSL50.parquet,VSL50,buontham_px_2,buồn thảm
54,./dataset/train_landmark_files/VSL50.parquet,VSL50,buontham_tg_3,buồn thảm
331,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_px_2,con trai
8,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_gx_4,ba mẹ
192,./dataset/train_landmark_files/VSL50.parquet,VSL50,boiroi_gx_1,bối rồi
813,./dataset/train_landmark_files/VSL50.parquet,VSL50,khodai_gg_3,khờ dại
265,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_px_2,cha mẹ
655,./dataset/train_landmark_files/VSL50.parquet,VSL50,không_có,không có
1494,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_tx_3,đẹp không
319,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_gx_1,con trai
1200,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_px_1,thì thầm
121,./dataset/train_landmark_files/VSL50.parquet,VSL50,bangai_tx_3,bạn gái
658,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcan_gg_3,không cần
1139,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_px_3,nấu nướng
1300,./dataset/train_landmark_files/VSL50.parquet,VSL50,tuchoi_px_5,từ chối
23,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_tg_4,ba mẹ
972,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_gx_1,mẹ
83,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_tg_1,bạn
646,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_tg_2,không có
878,./dataset/train_landmark_files/VSL50.parquet,VSL50,lau_gx_1,lâu
262,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_pg_4,cha mẹ
1473,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_gx_1,đẹp không
1486,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_px_5,đẹp không
474,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_gg_5,hàng ngày
1118,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_tx_3,nóng tính
353,./dataset/train_landmark_files/VSL50.parquet,VSL50,conban_gx_3,còn bạn
643,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_px_4,không có
310,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_tx_4,con gái
220,./dataset/train_landmark_files/VSL50.parquet,VSL50,bucminh_gg_3,bực mình
758,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_gx_5,không đẹp
1217,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_gg_2,thói quen
217,./dataset/train_landmark_files/VSL50.parquet,VSL50,bối_rồi,bối rồi
710,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_tg_4,không muốn
1282,./dataset/train_landmark_files/VSL50.parquet,VSL50,tuchoi_gg_3(1),từ chối
542,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_pg_1,hẹn
897,./dataset/train_landmark_files/VSL50.parquet,VSL50,lau_tg_5,lâu
718,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_gg,không nên
635,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_pg_1,không có
722,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_gg_5,không nên
84,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_tg_2,bạn
482,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_pg_3,hàng ngày
1004,./dataset/train_landmark_files/VSL50.parquet,VSL50,mitom_px_1,mỳ tôm
1417,./dataset/train_landmark_files/VSL50.parquet,VSL50,ongba_pg_3,ông bà
537,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_gx_1,hẹn
851,./dataset/train_landmark_files/VSL50.parquet,VSL50,ketban_gx_5,kết bạn
1308,./dataset/train_landmark_files/VSL50.parquet,VSL50,tuchoi_tx_3(1),từ chối
1053,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_tg_4,nhà vệ sinh
1530,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_gg_2,địa chỉ
325,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_pg_2,con trai
1405,./dataset/train_landmark_files/VSL50.parquet,VSL50,ongba_gg_1,ông bà
7,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_gx_3,ba mẹ
134,./dataset/train_landmark_files/VSL50.parquet,VSL50,bantrai_gx_5,bạn trai
315,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_gg_2,con trai
946,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_pg_1,muốn không
583,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_tg_1,hứa
492,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_tg_3,hàng ngày
551,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_px_5,hẹn
798,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_px_4,khả năng
211,./dataset/train_landmark_files/VSL50.parquet,VSL50,boiroi_tg_5,bối rồi
714,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_tx_3,không muốn
1337,./dataset/train_landmark_files/VSL50.parquet,VSL50,tugiac_tx_1,tự giác
522,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_tg_2,hấp dẫn
382,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_gx_1,có không
375,./dataset/train_landmark_files/VSL50.parquet,VSL50,conban_tx_5,còn bạn
144,./dataset/train_landmark_files/VSL50.parquet,VSL50,bantrai_px_5,bạn trai
281,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_gg_2,con gái
512,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_pg_2,hấp dẫn
379,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_gg_3,có không
131,./dataset/train_landmark_files/VSL50.parquet,VSL50,bantrai_gx_2,bạn trai
0,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_gg_1,ba mẹ
645,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_tg_1,không có
1115,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_tg_5,nóng tính
1414,./dataset/train_landmark_files/VSL50.parquet,VSL50,ongba_gx_5,ông bà
1132,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_pg_1,nấu nướng
90,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_tx_3,bạn
927,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_tg_4,may mắn
185,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_tx_5,bố mẹ
1152,./dataset/train_landmark_files/VSL50.parquet,VSL50,nấu_nướng,nấu nướng
1527,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong(nguoi)_tx_5,đẹp không(người)
1279,./dataset/train_landmark_files/VSL50.parquet,VSL50,thường_xuyên-miền_nam,thường xuyên
788,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_gx_4,khả năng
677,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcan_tg_2,không cần
829,./dataset/train_landmark_files/VSL50.parquet,VSL50,khodai_px_4,khờ dại
286,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_gx_2,con gái
1111,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_tg_1,nóng tính
1049,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_px_5,nhà vệ sinh
965,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_tx_5,muốn không
394,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_px_3,có không
1035,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_gx_1,nhà vệ sinh
732,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_pg_5,không nên
933,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_tx_5,may mắn
1558,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_tx_5,địa chỉ
179,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_tg_4,bố mẹ
88,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_tx_1,bạn
250,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_gg_2,cha mẹ
1081,./dataset/train_landmark_files/VSL50.parquet,VSL50,nenkhong_tg_2,nên không
1145,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_tg_4,nấu nướng
924,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_tg_1,may mắn
62,./dataset/train_landmark_files/VSL50.parquet,VSL50,buồn_thảm,buồn thảm
703,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_px_2,không muốn
1442,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_gx_2,đúng không
687,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_gg_1,không muốn
1137,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_px_1,nấu nướng
1445,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_gx_5,đúng không
445,./dataset/train_landmark_files/VSL50.parquet,VSL50,dunglai_gx_2,dừng lại
1397,./dataset/train_landmark_files/VSL50.parquet,VSL50,van_tg_4,vẫn
1069,./dataset/train_landmark_files/VSL50.parquet,VSL50,nenkhong_gx_5,nên không
1336,./dataset/train_landmark_files/VSL50.parquet,VSL50,tugiac_tg_5,tự giác
1495,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_tx_4,đẹp không
1059,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_tx_5,nhà vệ sinh
161,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_gx_1,bố mẹ
1074,./dataset/train_landmark_files/VSL50.parquet,VSL50,nenkhong_pg_5,nên không
1507,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong(nguoi)_gx_5,đẹp không(người)
1556,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_tx_3,địa chỉ
1107,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_px_2,nóng tính
1039,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_gx_5,nhà vệ sinh
954,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_px_4,muốn không
915,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_pg_2,may mắn
1010,./dataset/train_landmark_files/VSL50.parquet,VSL50,mytom_gg_2,mỳ tôm
970,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_gg_4,mẹ
24,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_tg_5,ba mẹ
341,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_tx_1,con trai
1278,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_tx_5,thường xuyên
639,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongco_pg_5,không có
105,./dataset/train_landmark_files/VSL50.parquet,VSL50,bangai_pg_2,bạn gái
371,./dataset/train_landmark_files/VSL50.parquet,VSL50,conban_tx_1,còn bạn
773,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_tg_5,không đẹp
332,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_px_3(1),con trai
389,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_pg_3,có không
1188,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_gg_5,thì thầm
793,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_pg_4,khả năng
921,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_px_3,may mắn
568,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_gx_1,hứa
287,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_gx_3,con gái
782,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_gg_3,khả năng
659,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcan_gg_4,không cần
1488,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_tg_2,đẹp không
1136,./dataset/train_landmark_files/VSL50.parquet,VSL50,naunuong_pg_5,nấu nướng
579,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_px_2,hứa
831,./dataset/train_landmark_files/VSL50.parquet,VSL50,khodai_tg_1,khờ dại
1007,./dataset/train_landmark_files/VSL50.parquet,VSL50,mitom_tg_3,mỳ tôm
621,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcho_tx_3,không cho
102,./dataset/train_landmark_files/VSL50.parquet,VSL50,bangai_gx_4,bạn gái
195,./dataset/train_landmark_files/VSL50.parquet,VSL50,boiroi_gx_4,bối rồi
51,./dataset/train_landmark_files/VSL50.parquet,VSL50,buontham_px_5,buồn thảm
612,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcho_px_4,không cho
1249,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_gg_1,thường xuyên
393,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_px_2,có không
413,./dataset/train_landmark_files/VSL50.parquet,VSL50,cankhong_gx_1,cần không
532,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_gg_1,hẹn
486,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_px_2,hàng ngày
1219,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_gg_4,thói quen
421,./dataset/train_landmark_files/VSL50.parquet,VSL50,cankhong_pg_4,cần không
745,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_tx_3,không nên
91,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_tx_4,bạn
477,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_gx_3,hàng ngày
296,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_px_1,con gái
1105,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_pg_5,nóng tính
1112,./dataset/train_landmark_files/VSL50.parquet,VSL50,nongtinh_tg_2,nóng tính
316,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_gg_3,con trai
1064,./dataset/train_landmark_files/VSL50.parquet,VSL50,nenkhong_gg_5,nên không
1542,./dataset/train_landmark_files/VSL50.parquet,VSL50,diachi_pg_4,địa chỉ
590,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_tx_3,hứa
917,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_pg_4,may mắn
252,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_gg_4,cha mẹ
320,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_gx_2,con trai
957,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_tg_2,muốn không
962,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_tx_2,muốn không
71,./dataset/train_landmark_files/VSL50.parquet,VSL50,ban_gx_4,bạn
1424,./dataset/train_landmark_files/VSL50.parquet,VSL50,ongba_px_5,ông bà
516,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_px_1,hấp dẫn
835,./dataset/train_landmark_files/VSL50.parquet,VSL50,khodai_tg_5,khờ dại
271,./dataset/train_landmark_files/VSL50.parquet,VSL50,chame_tg_3,cha mẹ
765,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_px_2,không đẹp
709,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_tg_3,không muốn
936,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_gg_2,muốn không
877,./dataset/train_landmark_files/VSL50.parquet,VSL50,lau_gg_5,lâu
12,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_pg_3,ba mẹ
734,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongnen_px_2,không nên
707,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_tg_1,không muốn
561,./dataset/train_landmark_files/VSL50.parquet,VSL50,hen_tx_5,hẹn
447,./dataset/train_landmark_files/VSL50.parquet,VSL50,dunglai_gx_4,dừng lại
202,./dataset/train_landmark_files/VSL50.parquet,VSL50,boiroi_px_1,bối rồi
411,./dataset/train_landmark_files/VSL50.parquet,VSL50,cankhong_gg_4,cần không
299,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_px_3,con gái
809,./dataset/train_landmark_files/VSL50.parquet,VSL50,khanang_tx_5,khả năng
1246,./dataset/train_landmark_files/VSL50.parquet,VSL50,thoiquen_tx_4,thói quen
509,./dataset/train_landmark_files/VSL50.parquet,VSL50,hapdan_gx_4,hấp dẫn
1301,./dataset/train_landmark_files/VSL50.parquet,VSL50,tuchoi_tg_1,từ chối
1309,./dataset/train_landmark_files/VSL50.parquet,VSL50,tuchoi_tx_4,từ chối
1205,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_tg_1,thì thầm
27,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_tx_3,ba mẹ
977,./dataset/train_landmark_files/VSL50.parquet,VSL50,me_pg_1,mẹ
565,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_gg_3,hứa
283,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_gg_4,con gái
1519,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong(nguoi)_tg_2,đẹp không(người)
922,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_px_4,may mắn
1458,./dataset/train_landmark_files/VSL50.parquet,VSL50,dungkhong_tg_3,đúng không
1031,./dataset/train_landmark_files/VSL50.parquet,VSL50,nhavesinh_gg_2,nhà vệ sinh
1191,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_gx_3(1),thì thầm
593,./dataset/train_landmark_files/VSL50.parquet,VSL50,hứa-miền_nam,hứa
1000,./dataset/train_landmark_files/VSL50.parquet,VSL50,mitom_gx_1,mỳ tôm
292,./dataset/train_landmark_files/VSL50.parquet,VSL50,congai_pg_3(1),con gái
1184,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_gg_1,thì thầm
16,./dataset/train_landmark_files/VSL50.parquet,VSL50,bame_px_2,ba mẹ
360,./dataset/train_landmark_files/VSL50.parquet,VSL50,conban_pg_5,còn bạn
1474,./dataset/train_landmark_files/VSL50.parquet,VSL50,depkhong_gx_2,đẹp không
142,./dataset/train_landmark_files/VSL50.parquet,VSL50,bantrai_px_3,bạn trai
473,./dataset/train_landmark_files/VSL50.parquet,VSL50,hangngay_gg_4,hàng ngày
387,./dataset/train_landmark_files/VSL50.parquet,VSL50,cokhong_pg_1,có không
944,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_gx_4,muốn không
1212,./dataset/train_landmark_files/VSL50.parquet,VSL50,thitham_tx_3,thì thầm
939,./dataset/train_landmark_files/VSL50.parquet,VSL50,muonkhong_gg_4,muốn không
158,./dataset/train_landmark_files/VSL50.parquet,VSL50,bome_gg_3,bố mẹ
1264,./dataset/train_landmark_files/VSL50.parquet,VSL50,thuongxuyen_px_1,thường xuyên
1028,./dataset/train_landmark_files/VSL50.parquet,VSL50,mỳ_tôm-miền_nam,mỳ tôm
688,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongmuon_gg_2,không muốn
591,./dataset/train_landmark_files/VSL50.parquet,VSL50,hua_tx_4,hứa
755,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongdep_gx_2,không đẹp
920,./dataset/train_landmark_files/VSL50.parquet,VSL50,mayman_px_2,may mắn
322,./dataset/train_landmark_files/VSL50.parquet,VSL50,contrai_gx_4,con trai
50,./dataset/train_landmark_files/VSL50.parquet,VSL50,buontham_px_4,buồn thảm
148,./dataset/train_landmark_files/VSL50.parquet,VSL50,bantrai_tg_4,bạn trai
604,./dataset/train_landmark_files/VSL50.parquet,VSL50,khongcho_pg_1,không cho
